"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EXMFPDBW","webpage","2024","Thomas Hamilton","What is Functional Testing? Types & Examples","","","","","https://www.guru99.com/functional-testing.html","FUNCTIONAL TESTING is a type of software testing that validates the software system against the functional requirements/specifications. The purpose of Functional tests is to test each function of the software application, by providing appropriate input, verifying the output against the Functional requirements.","2024-05-17","2024-07-11 05:12:58","2024-07-11 05:13:15","2024-07-11 05:12:58","","","","","","","What is Functional Testing?","","","","","","","en-US","","","","","","","","","/Users/shoggyboy/Zotero/storage/E9RDEQ5H/functional-testing.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PFRI5VIX","webpage","2022","Gordon Lyon","Nmap Network Scanning","https://nmap.org/book/toc.html","","","","https://nmap.org/book/toc.html","","2022","2024-10-22 15:06:29","2024-10-22 15:10:05","2024-10-22 15:06:29","","","","","","","","","","","","","","","","","","","","","","","/Users/shoggyboy/Zotero/storage/Q5XIV2B7/Gordon Lyon - Nmap Network Scanning.pdf; /Users/shoggyboy/Zotero/storage/8Q6V6LWP/toc.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YLLZ37RM","conferencePaper","2020","Liao, Si; Zhou, Chenming; Zhao, Yonghui; Zhang, Zhiyu; Zhang, Chengwei; Gao, Yayu; Zhong, Guohui","A Comprehensive Detection Approach of Nmap: Principles, Rules and Experiments","2020 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery (CyberC)","","","10.1109/CyberC49757.2020.00020","https://ieeexplore.ieee.org/abstract/document/9329410","Recently, network attacks have occurred frequently, causing confidential data to be stolen. The first step for hackers to conduct attacks is information collection. In this stage, Nmap is one of the most widely used scanning tools to obtain information from the target host. The obtained information can be further analyzed to assist in the subsequent attack. Therefore, it is necessary to find an efficient way to detect Nmap scanning behavior. ET OPEN is a rule set widely used by the intrusion detection system (IDS) to protect hosts from malicious penetration. The Nmap detection rate is 58.3% with ET OPEN rules, but it becomes 8.3% when facing IDS evasion. Due to the low detection rate of ET OPEN, we propose the Comprehensive Nmap Detection Rules (CNDR). CNDR can detect the Nmap scanning behaviors precisely and efficiently. In the CNDR, Nmap's customizable fields are removed, and rules for operating system scanning are added. CNDR achieves 100% detection rate of normal Nmap scanning and 91.7% detection accuracy of Nmap with IDS evasion on our designed dataset. The result shows CNDR is robust even facing customized scanning and is superior to ET OPEN.","2020-10","2024-10-22 21:41:54","2024-10-22 21:41:54","2024-10-22 21:41:54","64-71","","","","","","A Comprehensive Detection Approach of Nmap","","","","","","","","","","","","IEEE Xplore","","","","/Users/shoggyboy/Zotero/storage/DGPUIBZZ/Liao et al. - 2020 - A Comprehensive Detection Approach of Nmap Princi.pdf; /Users/shoggyboy/Zotero/storage/CMXKKPQL/9329410.html","","","CNDR; ET OPEN; Intrusion detection; Knowledge discovery; Nmap; Operating systems; Reconnaissance; Software; Telecommunication traffic; Tools","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery (CyberC)","","","","","","","","","","","","","","",""
"ABQ64YQI","webpage","2022","Kaspersky","87 critical vulnerabilities discovered in routers in 2021","87 critical vulnerabilities discovered in routers in 2021","","","","https://www.kaspersky.com/about/press-releases/87-critical-vulnerabilities-discovered-in-routers-in-2021","Routers are essential for Wi-Fi connections, with millions of new devices set up daily in homes and workplaces. According to analysis conducted by Kaspersky, over 500 vulnerabilities were discovered in routers in 2021, including 87 critical ones.","2022-06-08","2024-10-22 22:02:45","2024-10-22 22:04:52","2024-10-22 22:02:45","","","","","","","","","","","","","","en","","","","","","","","","/Users/shoggyboy/Zotero/storage/APWVKFHQ/87-critical-vulnerabilities-discovered-in-routers-in-2021.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAHYM52E","book","2023","Mitra, Rita; Brown, Glenn; Huffman, Melanie; Zhu, Hongyi","Telecommunications and Networking","","","","","https://utsa.pressbooks.pub/networking/chapter/overview-wireless/","","2023","2024-10-23 08:38:08","2024-10-23 08:47:06","2024-10-23 08:38:08","","","","","","","","","","","","The University of Texas at San Antonio","","en","","","","","utsa.pressbooks.pub","","Book Title: Telecommunications and Networking","","/Users/shoggyboy/Zotero/storage/KBF4Q4G7/overview-wireless.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X4WSNKYZ","journalArticle","2021","Mazurczyk, Wojciech; Caviglione, Luca","Cyber Reconnaissance Techniques","Communications of the ACM","","","10.1145/3418293","","In this article, we introduce the classification and the evolution of the most popular reconnaissance methods. Then, we discuss possible countermeasures and present some future directions.","2021-02-25","2024-10-23 09:33:58","2024-10-23 09:33:58","","","","","64","","Communications of the ACM","","","","","","","","","","","","","ResearchGate","","","","/Users/shoggyboy/Zotero/storage/CMAX6U4U/Mazurczyk and Caviglione - 2021 - Cyber Reconnaissance Techniques.pdf; ","https://www.researchgate.net/publication/349589737_Cyber_Reconnaissance_Techniques#fullTextFileContent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29V3E98M","conferencePaper","2020","Liu, Li","Discussion and Practice of Computer Network Information and Network Security Protection Strategy","2020 5th International Conference on Mechanical, Control and Computer Engineering (ICMCCE)","","","10.1109/ICMCCE51767.2020.00397","https://ieeexplore.ieee.org/document/9421422","With the development of science and technology, especially the application of big data technology, the role of computer networks has become more and more significant. Computer network has a profound impact on people's life and work, and has even become a part of life and work. However, computer network technology has also exposed some problems while providing convenience to people's lives. For example, the resulting information security issues pose a threat to people's personal privacy, corporate security, national security, etc., thereby affecting the sustainable development of computer network technology. Based on this, we must strengthen the research on computer network security. In particular, it is necessary to strengthen the research on the phenomenon of computer network information leakage and its causes, and strengthen the computer network security management. At the same time, we should also take necessary preventive measures from both technical and management aspects to ensure the safety of computer network information and reduce computer network threats. In view of this, this article will analyze and explore the current factors affecting computer network security on the basis of related concepts of computer network information security. The author analyzes how we should strengthen defenses from the perspective of technology and management to ensure the security of network information.","2020-12","2024-10-23 09:50:25","2024-10-23 09:50:25","2024-10-23 09:50:25","1810-1813","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","/Users/shoggyboy/Zotero/storage/I442EEEF/9421422.html","","","Computer hacking; Computer Network Information; Computer networks; Computer viruses; Information security; Network Security; Security; Security Defense; Security management; Time measurement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 5th International Conference on Mechanical, Control and Computer Engineering (ICMCCE)","","","","","","","","","","","","","","",""
"7FMSV3MZ","journalArticle","2022","Ferazza, Francesco M","CYBER KILL CHAIN, MITRE ATT&CK, AND THE DIAMOND MODEL: A COMPARISON OF CYBER INTRUSION ANALYSIS MODELS","Royal Holloway University of London","","","","","","2022-04-11","2024-10-23 10:40:27","2024-10-23 10:43:03","","91","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/shoggyboy/Zotero/storage/82QXMITU/Ferazza - CYBER KILL CHAIN, MITRE ATT&CK, AND THE DIAMOND MO.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEVYP7R4","journalArticle","2015","Bendovschi, Andreea","Cyber-Attacks – Trends, Patterns and Security Countermeasures","Procedia Economics and Finance","","2212-5671","10.1016/S2212-5671(15)01077-1","https://www.sciencedirect.com/science/article/pii/S2212567115010771","Technology is rapidly evolving in a world driven by social networks, online transactions, cloud computing, and automated processes. But with the technological evolution comes the progress of cybercrime, which continually develops new attack types, tools and techniques that allow attackers to penetrate more complex or well-controlled environments, and produce increased damage and even remain untraceable. The present article aims to get an overview of the cyber-crime as it is defined and revealed by specialized literature, international legislation and historical facts, and perform an analysis of attacks reported all around the world over the last three years in order to determine patterns and trends in cyber-crime. Based on the results of the analysis, the article presents countermeasures that companies may undertake in order to ensure improved security that would support in defending their business from attackers from an information security perspective.","2015-01-01","2024-10-23 10:45:54","2024-10-23 10:45:54","2024-10-23 10:45:54","24-31","","","28","","Procedia Economics and Finance","","7th INTERNATIONAL CONFERENCE ON FINANCIAL CRIMINOLOGY 2015, 7th ICFC 2015, 13-14 April 2015,Wadham College, Oxford University, United Kingdom","","","","","","","","","","","ScienceDirect","","","","/Users/shoggyboy/Zotero/storage/42VKGSTE/S2212567115010771.html","","","Cyber-crime; Security Countermeasures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SH2BEUI9","webpage","","Editor, CSRC Content","Cyber Attack - Glossary | CSRC","","","","","https://csrc.nist.gov/glossary/term/cyber_attack","CSRC Home Page","","2024-10-23 10:47:47","2024-10-23 10:47:47","2024-10-23 10:47:47","","","","","","","","","","","","","","EN-US","","","","","","","","","/Users/shoggyboy/Zotero/storage/2LIFN3JS/cyber_attack.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
